City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
148,andalgala,-27.5819,-66.3165,9.96,80,62,0.62,AR,1687240028
149,tura,25.5198,90.2201,27.62,89,65,4.08,IN,1687240028
150,oxelosund,58.6706,17.1015,14.21,100,100,1.03,SE,1687240029
151,stanley,54.868,-1.6985,16.05,92,20,0.51,GB,1687240029
152,saint croix,17.7397,-64.7388,26.25,78,40,4.12,VI,1687240029
153,saint-philippe,-21.3585,55.7679,24.77,70,43,5.23,RE,1687239883
154,tolanaro,-25.0319,46.9987,19.04,68,20,1.03,MG,1687240029
155,kahriz,34.3838,47.0553,24.04,19,0,2.06,IR,1687240029
156,nemuro,43.3236,145.575,13.82,77,57,1.43,JP,1687240029
157,mangrol,21.1167,70.1167,30.91,65,88,6.53,IN,1687240029
158,talcahuano,-36.7167,-73.1167,10.82,82,100,3.6,CL,1687240022
159,puerto asis,0.5133,-76.5007,20.15,96,0,0.71,CO,1687240030
160,thompson,55.7435,-97.8558,18.09,94,75,1.03,CA,1687239884
161,sajir,25.1825,44.5996,35.79,11,13,4.06,SA,1687240030
162,ladario,-19.0047,-57.6017,16.39,85,0,1.28,BR,1687240030
163,yangiobod,41.1192,70.0941,26.22,33,82,3.51,UZ,1687240030
164,soma,39.1855,27.6094,26.0,61,0,1.88,TR,1687240030
165,uturoa,-16.7333,-151.4333,26.81,78,7,2.22,PF,1687239885
166,bilibino,68.0546,166.4372,17.82,31,7,5.56,RU,1687240031
167,larvik,59.0533,10.0352,17.25,97,75,2.06,NO,1687240031
168,guerrero negro,27.9769,-114.0611,17.16,89,97,6.75,MX,1687239886
169,kerch,45.3583,36.4758,22.27,70,30,6.73,UA,1687240031
170,tamanrasset,22.785,5.5228,22.95,25,40,1.03,DZ,1687240031
171,pitanga,-24.7572,-51.7614,7.33,97,2,1.55,BR,1687239962
172,rufino,-34.2683,-62.7126,10.47,82,100,2.56,AR,1687240032
173,orchard homes,46.8633,-114.0484,10.08,75,100,0.45,US,1687239888
174,kroya,-7.6331,109.2461,28.66,71,57,3.48,ID,1687240032
175,colonia menno,-22.3667,-59.8167,16.32,76,0,3.8,PY,1687239888
176,kayangel,8.0823,134.7173,29.13,72,22,2.69,PW,1687240032
177,carnarvon,-24.8667,113.6333,20.55,58,1,5.96,AU,1687240032
178,ancud,-41.8697,-73.8203,6.2,81,31,4.03,CL,1687239889
179,coxim,-18.5067,-54.76,15.22,70,0,1.99,BR,1687240033
180,cannonvale,-20.2833,148.7,21.66,69,13,5.04,AU,1687240033
181,kenora,49.8167,-94.4337,21.54,78,20,4.12,CA,1687240033
182,ararat,39.8317,44.7049,24.19,38,2,1.11,AM,1687240033
183,kendari,-3.945,122.4989,29.79,55,94,2.29,ID,1687240033
184,zeya,53.75,127.2667,22.68,66,99,7.56,RU,1687240033
185,santiago de cao,-7.9589,-79.2392,22.07,78,100,3.6,PE,1687240034
186,douglas,41.3,-96.167,24.93,67,0,0.0,US,1687239853
187,zhezqazghan,47.7833,67.7667,18.32,32,40,5.0,KZ,1687240034
188,lethem,3.3803,-59.7968,23.38,90,59,1.82,GY,1687240034
189,berezovyy,51.6667,135.7,26.7,42,100,2.42,RU,1687240034
190,polyarnyy,69.1989,33.4478,9.06,58,1,2.92,RU,1687239891
191,lata,40.1629,-8.3327,16.71,95,89,0.96,PT,1687240034
192,zijinglu,34.76,112.9714,36.0,31,72,2.78,CN,1687239891
193,lagos,6.5833,3.75,24.18,93,100,1.69,NG,1687239848
194,galle,6.0367,80.217,28.29,79,97,5.43,LK,1687240035
195,brookings,44.3114,-96.7984,25.19,68,0,5.66,US,1687240035
196,taulaga,-11.0553,-171.0883,27.8,72,17,1.79,AS,1687240035
197,broken hill,-31.95,141.4333,11.9,48,98,1.88,AU,1687239913
198,badger,64.8,-147.5333,17.93,49,100,0.0,US,1687240035
199,alamos,27.0167,-108.9333,27.2,45,49,0.58,MX,1687239913
200,salavan,15.7167,106.4167,30.88,73,71,2.35,LA,1687240036
201,suva,-18.1416,178.4415,21.71,100,75,3.09,FJ,1687240036
202,praia da vitoria,38.7333,-27.0667,19.14,88,75,3.0,PT,1687239913
203,kuanda,56.3161,116.0806,17.51,34,76,5.67,RU,1687239914
204,sisimiut,66.9395,-53.6735,6.52,57,100,3.04,GL,1687240036
205,petropavlovsk-kamchatsky,53.0452,158.6483,8.33,93,75,5.0,RU,1687240036
206,pundong,-7.9522,110.3486,28.52,71,69,3.82,ID,1687240036
207,hermanus,-34.4187,19.2345,9.89,88,70,3.34,ZA,1687239914
208,lure,47.75,6.5,22.25,83,0,2.06,FR,1687240037
209,arraial do cabo,-22.9661,-42.0278,15.11,90,77,1.05,BR,1687239914
210,shanhaiguan,39.9988,119.7564,22.22,78,94,3.82,CN,1687240037
211,aur,8.1499,171.1687,27.46,81,100,6.89,MH,1687239915
212,iskateley,67.6803,53.1512,9.16,56,25,7.06,RU,1687240037
213,prien,30.1819,-93.2738,28.34,93,0,3.09,US,1687239915
214,sinop,41.7711,34.8709,17.24,78,83,2.37,TR,1687240037
215,noosa heads,-26.3833,153.15,20.62,44,3,4.83,AU,1687240038
216,sao joao da barra,-21.6403,-41.0511,18.98,73,68,3.63,BR,1687240038
217,harper,4.375,-7.7169,25.16,84,100,4.25,LR,1687239916
218,cooper's town,26.8667,-77.5167,27.7,77,73,5.19,BS,1687240038
219,afaahiti,-17.75,-149.2833,25.93,81,8,4.02,PF,1687239916
220,saipan,15.1355,145.701,32.39,100,20,6.17,MP,1687240038
221,thomaston,32.8882,-84.3266,21.42,91,0,0.0,US,1687240038
222,burang,30.25,81.1667,12.14,66,94,2.2,CN,1687240039
223,campo grande,-20.4428,-54.6464,14.75,82,0,3.6,BR,1687239917
224,mont-laurier,46.5501,-75.4993,11.79,95,5,0.91,CA,1687240039
225,punta alta,-38.8759,-62.0736,10.04,88,100,5.66,AR,1687240039
226,canmore,51.0834,-115.3521,6.06,93,99,2.06,CA,1687239762
227,yendi,9.4427,-0.0099,23.76,91,100,2.46,GH,1687240039
228,bathsheba,13.2167,-59.5167,27.34,89,40,4.63,BB,1687240039
229,kingston,17.997,-76.7936,29.53,78,20,7.2,JM,1687240002
230,nadym,65.5333,72.5167,6.46,75,99,6.73,RU,1687239917
231,nelson,-41.2833,173.2833,14.05,78,48,0.45,NZ,1687239746
232,fort stockton,30.894,-102.8793,33.03,18,0,5.66,US,1687240040
233,holualoa,19.6228,-155.9522,24.91,78,40,4.63,US,1687240040
234,fortuna,40.5982,-124.1573,11.06,48,100,0.0,US,1687240040
235,talnakh,69.4865,88.3972,3.05,97,100,2.51,RU,1687239918
236,roma,43.2128,-75.4557,17.63,79,0,3.09,US,1687239685
237,cabo san lucas,22.8909,-109.9124,30.9,60,71,4.38,MX,1687240040
238,ilare,7.3507,5.1133,22.15,99,100,1.58,NG,1687240041
239,kristiansund,63.1115,7.732,19.36,55,0,1.03,NO,1687239919
240,maun,-19.9833,23.4167,4.98,70,0,1.54,BW,1687240042
241,ko pha ngan,9.7578,100.0291,30.38,74,65,3.06,TH,1687240042
242,yorkton,51.2167,-102.4677,16.91,77,100,1.54,CA,1687239901
243,weno,7.4515,151.8468,30.97,74,75,3.09,FM,1687240042
244,karasuk,53.7377,78.0403,14.99,48,53,10.81,RU,1687240043
245,ust-nera,64.5667,143.2,26.25,24,100,4.08,RU,1687239920
246,norrtalje,59.758,18.705,15.1,49,100,1.5,SE,1687239920
247,xuddur,4.1213,43.8894,26.83,55,70,9.62,SO,1687240043
248,demyansk,57.643,32.466,20.61,43,33,1.9,RU,1687240043
249,kaohsiung,22.6163,120.3133,32.05,73,75,7.2,TW,1687240043
250,lebu,-37.6167,-73.65,11.4,80,100,1.33,CL,1687240043
251,manggar,-2.8833,108.2667,29.49,67,100,4.39,ID,1687240044
252,gummi,12.1436,5.1081,23.35,83,100,7.93,NG,1687240044
253,villa gesell,-37.2639,-56.973,9.92,79,100,3.43,AR,1687239921
254,swan hill,-35.3378,143.5544,10.85,48,100,0.82,AU,1687239921
255,al jawf,29.5,38.75,24.57,29,0,6.21,SA,1687240044
256,mata-utu,-13.2816,-176.1745,27.39,75,45,6.48,WF,1687240044
257,yuzhno-kurilsk,44.0306,145.8556,13.27,74,86,4.5,RU,1687240044
258,saint-francois,46.4154,3.9054,19.26,100,0,0.51,FR,1687240045
259,namibe,-15.1961,12.1522,16.49,86,54,1.1,AO,1687240045
260,tozeur,33.9197,8.1335,27.22,36,0,8.23,TN,1687239922
261,namsos,64.4662,11.4957,21.95,53,96,2.57,NO,1687240045
262,leeton,-34.5667,146.4,10.05,61,100,2.62,AU,1687240045
263,avarua,-21.2078,-159.775,24.03,88,75,2.06,CK,1687240045
264,bam,29.106,58.357,41.24,10,9,4.61,IR,1687240045
265,hithadhoo,-0.6,73.0833,28.25,77,58,7.13,MV,1687240046
266,mukalla,14.5425,49.1242,33.55,55,49,1.83,YE,1687240046
267,kiunga,-6.1219,141.2906,27.78,73,94,1.02,PG,1687239923
268,saudarkrokur,65.7461,-19.6394,4.39,98,100,6.06,IS,1687239923
269,vizinga,61.0749,50.1031,8.82,53,96,4.01,RU,1687240046
270,gaiman,-43.2897,-65.4929,2.28,74,3,4.08,AR,1687240046
271,kirovskiy,45.0917,133.5136,27.52,43,100,1.53,RU,1687240046
272,palangkaraya,-2.2,113.8333,27.75,73,100,1.27,ID,1687239924
273,corinto,37.9407,22.9573,24.94,52,0,2.24,GR,1687240047
274,hobyo,5.3505,48.5268,27.23,70,66,9.67,SO,1687239924
275,tefe,-3.3542,-64.7114,22.0,99,92,0.45,BR,1687240047
276,north bend,43.4065,-124.2243,11.95,82,0,3.09,US,1687240047
277,ishigaki,24.3448,124.1572,31.07,84,75,5.66,JP,1687240047
278,port blair,11.6667,92.75,31.02,70,40,6.17,IN,1687239924
279,nishinoomote,30.7333,131.0,26.31,83,75,6.17,JP,1687240047
280,ingeniero jacobacci,-41.3427,-69.5448,-1.01,97,97,2.96,AR,1687240048
281,nova sintra,14.8667,-24.7167,20.82,86,86,3.84,CV,1687240048
282,juruti,-2.1522,-56.0922,23.58,83,26,0.88,BR,1687240048
283,wamba,8.9333,8.6,23.51,91,100,0.96,NG,1687240048
284,carahue,-38.7,-73.1667,7.34,81,93,2.08,CL,1687240042
285,manokwari,-0.8667,134.0833,27.42,78,95,1.54,ID,1687239926
286,enewetak,11.3474,162.3373,27.93,79,76,7.03,MH,1687240048
287,neon karlovasion,37.7903,26.7044,24.39,70,0,4.45,GR,1687239926
288,rikaze,29.25,88.8833,19.76,37,53,3.0,CN,1687240049
289,dampit,-8.2116,112.7493,29.48,54,28,2.62,ID,1687240049
290,touros,-5.1989,-35.4608,24.34,89,96,5.47,BR,1687240049
291,markala,13.7021,-6.0659,30.73,45,19,3.78,ML,1687239927
292,berdigestyakh,62.0989,126.6992,20.08,61,100,2.56,RU,1687240049
293,veraval,20.9,70.3667,30.93,65,84,6.37,IN,1687240049
294,lucapa,-8.4192,20.7447,16.75,36,36,2.12,AO,1687239928
295,alaghsas,17.0187,8.0168,30.94,42,0,1.03,NE,1687240050
296,taltal,-25.4,-70.4833,17.5,61,25,1.69,CL,1687240050
297,howrah,22.5892,88.3103,35.0,63,40,6.17,IN,1687240022
298,estevan,49.1334,-102.9842,17.11,94,100,2.06,CA,1687239928
299,kota belud,6.351,116.4305,29.32,68,100,1.06,MY,1687239928
